ref_session,target_session,feature,classifier,da,strategy,accuracy,subject,dataset,n_sessions,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,baseline_acc,acc_centered,uid,drift_z_mmd,drift_z_energy,drift_z_wasserstein,drift_z_mahalanobis,drift_z_euclidean,drift_z
0,1,CSP,lda,none,train_once,0.5666666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.20833333333333348,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,sa,train_once_da,0.6416666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.13333333333333341,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,pt,train_once_da,0.675,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.10000000000000009,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,coral,train_once_da,0.575,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.20000000000000018,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,tca,train_once_da,0.475,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.30000000000000016,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,gfk,train_once_da,0.575,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.20000000000000018,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,rd,train_once_da,0.5916666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.18333333333333346,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,art,train_once_da,0.6833333333333333,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.09166666666666679,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,ot,train_once_da,0.7,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.07500000000000018,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,mida,train_once_da,0.5,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.27500000000000013,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,lda,m3d,train_once_da,0.6333333333333333,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.14166666666666683,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
1,1,CSP,lda,none,retrain,0.6749999999999999,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.7750000000000001,-0.1000000000000002,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,none,train_once,0.525,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.22499999999999998,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,sa,train_once_da,0.6166666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.1333333333333333,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,pt,train_once_da,0.6166666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.1333333333333333,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,coral,train_once_da,0.5666666666666667,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.18333333333333335,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,tca,train_once_da,0.49166666666666664,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.25833333333333336,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,gfk,train_once_da,0.5583333333333333,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.19166666666666665,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,rd,train_once_da,0.5583333333333333,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.19166666666666665,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,art,train_once_da,0.625,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.125,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,ot,train_once_da,0.6083333333333333,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.14166666666666672,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,mida,train_once_da,0.5,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.25,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
0,1,CSP,svm_linear,m3d,train_once_da,0.625,1,bnci004,5,0.20443617466906994,0.5200919633803494,0.4838209068984407,1.2492496777211533,0.7686111007151492,0.75,-0.125,bnci004_1,-0.31069050521649355,-0.30631075109496075,-0.5154501263805811,-0.5549942873222656,-0.8809230060688258,-0.31069050521649355
