ref_session,target_session,feature,classifier,da,strategy,accuracy,subject,dataset,n_sessions,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,baseline_acc,acc_centered,uid,drift_z_mmd,drift_z_energy,drift_z_wasserstein,drift_z_mahalanobis,drift_z_euclidean,drift_z
0,1,CSP,lda,none,train_once,0.52,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.32094202898550717,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,sa,train_once_da,0.8,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.04094202898550714,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,pt,train_once_da,0.79,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.05094202898550715,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,coral,train_once_da,0.51,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.3309420289855072,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,tca,train_once_da,0.49,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.3509420289855072,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,gfk,train_once_da,0.61,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.2309420289855072,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,rd,train_once_da,0.5,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.3409420289855072,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,art,train_once_da,0.79,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.05094202898550715,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,ot,train_once_da,0.71,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.13094202898550722,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
0,1,CSP,lda,mida,train_once_da,0.53,1,zhou2016,3,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,0.8409420289855072,-0.31094202898550716,zhou2016_1,0.5220564131551987,0.5715456676207747,0.44642518145548504,1.1822973417314293,-0.11978819198260075,0.5220564131551987
