session_k,feature,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,subject,dataset,n_sessions
3,logvar,0.19817626607991845,0.1153241553416931,0.027835042672482754,1.4419793076331249,0.042786992259807505,6,bnci004,5
3,TS,0.174072676933827,1.3467530910881873e-06,4.088387905660035e-12,2.609990069379301e-08,6.4250640244717115e-12,6,bnci004,5
4,CSP,0.08188918931764744,0.29680318380242104,0.30556894419816855,0.8454228040562549,0.6205863852550184,6,bnci004,5
4,logvar,0.09702491892001497,0.08477077924179412,0.022450909555803047,0.9506131362009737,0.04197663848961105,6,bnci004,5
4,TS,0.09914919431376656,1.0759208311969134e-06,3.52978094425536e-12,2.2505135835926226e-08,6.446537725753115e-12,6,bnci004,5
1,CSP,0.11481062495202532,0.4794395221271408,0.5557916680720651,1.3227427149441469,1.0358542393156969,7,bnci004,5
1,logvar,0.09394929529649843,0.05710107995819418,0.008906815732600895,1.2540948574480357,0.01757322102283735,7,bnci004,5
1,TS,0.07856386863510667,5.589850173881744e-07,1.0383762559646428e-12,6.641760429447171e-09,2.0458268898051304e-12,7,bnci004,5
2,CSP,0.1091529122917636,0.40533223149785197,0.4659441250692936,1.2798590058302868,0.8923855968801022,7,bnci004,5
2,logvar,0.08283693487681587,0.04542131220737385,0.007419545966736286,1.0566752204199872,0.015140006674257895,7,bnci004,5
2,TS,0.08867997020443741,5.300434624236241e-07,1.0757364624618004e-12,5.769162308449404e-09,1.834332614408866e-12,7,bnci004,5
3,CSP,0.046842053447629706,0.30306525860311256,0.40247692410915,0.839400376788466,0.9528538848731777,7,bnci004,5
3,logvar,0.03256982511626383,0.033075075515996644,0.007144730570976969,0.697729059757602,0.017124382954675818,7,bnci004,5
3,TS,0.035388722153542274,3.687484312552e-07,1.0031562045770954e-12,3.957216511136525e-09,2.0359874145852377e-12,7,bnci004,5
4,CSP,0.053763801567666025,0.28654483869280384,0.36843358488712796,0.6355686541927708,0.898354154690501,7,bnci004,5
4,logvar,0.05951084214893099,0.040019080101233125,0.0073251656510847415,0.6269753166452939,0.017510104652989977,7,bnci004,5
4,TS,0.04480030153060577,3.8788615088904607e-07,9.697030135463315e-13,4.194746336201828e-09,2.0950983188052376e-12,7,bnci004,5
